chapter,sentence,entity1,entity2,relation
003.txt,<p>黛玉只带了两个人来：一个是自幼奶娘王嬷嬷，一个是十岁的小丫头，亦是自幼随身的，名唤作雪雁。贾母见雪雁甚小，一团孩气，王嬷嬷又极老，料黛玉皆不遂心省力的，便将自己身边的一个二等丫头，名唤鹦哥者与了黛玉。外亦如迎春等例，每人除自幼乳母外，另有四个教引嬷嬷，除贴身掌管钗钏盥沐两个丫鬟外，另有五六个洒扫房屋来往使役的小丫鬟。当下，王嬷嬷与鹦哥陪侍黛玉在碧纱橱内。宝玉之乳母李嬷嬷，并大丫鬟名唤袭人者，陪侍在外面大床上。</p>,王嬷嬷,雪雁,丫头
003.txt,<p>黛玉只带了两个人来：一个是自幼奶娘王嬷嬷，一个是十岁的小丫头，亦是自幼随身的，名唤作雪雁。贾母见雪雁甚小，一团孩气，王嬷嬷又极老，料黛玉皆不遂心省力的，便将自己身边的一个二等丫头，名唤鹦哥者与了黛玉。外亦如迎春等例，每人除自幼乳母外，另有四个教引嬷嬷，除贴身掌管钗钏盥沐两个丫鬟外，另有五六个洒扫房屋来往使役的小丫鬟。当下，王嬷嬷与鹦哥陪侍黛玉在碧纱橱内。宝玉之乳母李嬷嬷，并大丫鬟名唤袭人者，陪侍在外面大床上。</p>,李嬷嬷,袭人,丫环
005.txt,<p>如今且说林黛玉自在荣府以来，贾母万般怜爱，寝食起居一如宝玉，把那迎春、探春、惜春三个孙女儿倒且靠后了；就是宝玉黛玉二人的亲密友爱，也较别人不同，日则同行同坐，夜则同止同息，真是言和意顺，略无参商。不想如今忽然来了一个薛宝钗，年纪虽大不多，然品格端方，容貌美丽，人人都说黛玉不及。那宝钗却又行为豁达，随分从时，不比黛玉孤高自许，目无下尘，故深得下人之心。就是小丫头们亦多和宝钗亲近。因此黛玉心中便有些不忿，宝钗却是浑然不觉。那宝玉也在孩提之间，况他天性所禀，一片愚拙偏僻，视姊妹兄弟皆出一意，并无亲疏远近之别。如今与黛玉同处贾母房中，故略比别的姊妹熟惯些，既熟惯便更觉亲密，既亲密便不免有些不虞之隙、求全之毁。这日不知为何，二人言语有些不和起来，黛玉又在房中独自垂泪。宝玉也自悔言语冒撞，前去俯就，那黛玉方渐渐的回转过来。</p>,林黛玉,贾母,女儿
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,贾珍,尤氏,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,贾珍,贾母,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,贾珍,邢夫人,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,贾珍,王夫人,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,贾珍,贾蓉,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,尤氏,贾母,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,尤氏,邢夫人,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,尤氏,王夫人,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,尤氏,贾蓉,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,贾母,邢夫人,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,贾母,王夫人,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,贾母,贾蓉,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,邢夫人,王夫人,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,邢夫人,贾蓉,妻
005.txt,<p>因东边宁府花园内梅花盛开，贾珍之妻尤氏乃治酒，请贾母、邢夫人、王夫人等赏花，是日先携了贾蓉之妻，二人来面请。贾母等于早饭后过来，就在会芳园游玩，先茶后酒。不过是宁荣二府眷属家宴，并无别样新文趣事可记。</p>,王夫人,贾蓉,妻
005.txt,<blockquote><p>嫩寒锁梦因春冷，芳气袭人是酒香。</p></blockquote><p>案上设着武则天当日镜室中设的宝镜，一边摆着赵飞燕立着舞过的金盘，盘内盛着安禄山掷过伤了太真乳的木瓜。上面设着寿昌公主于含章殿下卧的宝榻，悬的是同昌公主制的联珠帐。宝玉含笑道：“这里好，这里好！”秦氏笑道：“我这屋子，大约神仙也可以住得了。”说道，亲自展开了西施浣过的纱衾，移了红娘抱过的鸳枕。于是众奶姆伏侍宝玉卧好，款款散去，只留下袭人、晴雯、麝月、秋纹四个丫鬟为伴。秦氏便叫小丫鬟们好生在檐下看着猫儿狗儿打架。</p>,晴雯,秋纹,丫环
006.txt,<p>先至倒厅，周瑞家的将刘姥姥安插等着，自己却先过影壁，走进了院门，知凤姐尚未出来，先找着凤姐的一个心腹通房大丫头名唤平儿的。周瑞家的先将刘姥姥起初来历说明，又说：“今日大远的来请安，当日太太是常会的，所以我带了他过来。等着奶奶下来，我细细儿的回明了，想来奶奶也不至嗔着我莽撞的。”平儿听了，便作了个主意：“叫他们进来，先在这里坐着就是了。”周瑞家的才出去领了他们进来，上了正房台阶，小丫头打起猩红毡帘，才入堂屋，只闻一阵香扑了脸来，竟不知是何气味，身子就像在云端里一般。满屋里的东西都是耀眼争光，使人头晕目眩，刘姥姥此时只有点头咂嘴念佛而已。于是走到东边这间屋里，乃是贾琏的女儿睡觉之所。平儿站在炕沿边，打量了刘姥姥两眼，只得问个好，让了坐。刘姥姥见平儿遍身绫罗，插金戴银，花容月貌，便当是凤姐儿了，才要称“姑奶奶”，只见周瑞家的说：“他是平姑娘。”又见平儿赶着周瑞家的叫他“周大娘”，方知不过是个有体面的丫头。于是让刘姥姥和板儿上了炕，平儿和周瑞家的对面坐在炕沿上，小丫头们倒了茶来吃了。</p>,周瑞家的,刘姥姥,丫头
008.txt,<p>话说宝玉和凤姐回家，见过众人，宝玉便回明贾母要约秦钟上家塾之事，自己也有个伴读的朋友，正好发奋；又着实称赞秦钟人品行事，最是可人怜爱的。凤姐又在一旁帮着说：“改日秦钟还来拜见老祖宗呢。”说的贾母喜欢起来。凤姐又趁势请贾母一同过去看戏。贾母虽年高，却极有兴头。后日，尤氏来请，遂带了王夫人、黛玉、宝玉等过去看戏。至晌午，贾母便回来歇息。王夫人本好清净，见贾母回来也就回来了。然后凤姐坐了首席，尽欢至晚而罢。</p>,贾母,秦钟,朋友
008.txt,<p>黛玉磕着瓜子儿，只管抿着嘴儿笑，可巧黛玉的丫鬟雪雁走来给黛玉送小手炉儿，黛玉因含笑问他说：“谁叫你送来的？难为他费心。那里就冷死我了呢！”雪雁道：“紫鹃姐姐怕姑娘冷，叫我送来的。”黛玉接了，抱在怀中，笑道：“也亏了你倒听他的话！我平日和你说的，全当耳旁风，怎么他说了你就依，比圣旨还快呢。”宝玉听这话，知是黛玉借此奚落，也无回复之词，只嘻嘻的笑了一阵罢了。宝钗素知黛玉是如此惯了的，也不理他。薛姨妈因笑道：“你素日身子单弱，禁不得冷，他们惦记着你倒不好？”黛玉笑道：“姨妈不知道：幸亏是姨妈这里，倘或在别人家，那不叫人家恼吗？难道人家连个手炉也没有，巴巴儿的打家里送了来？不说丫头们太小心，还只当我素日是这么轻狂惯了的呢。”薛姨妈道：“你是个多心的，有这些想头。我就没有这些心。”</p>,巧黛玉,雪雁,丫环
